meanings,caionWord
four thousandth,seni
fourteen,seni carax
fourteen times,seni caraxis
fourteenth,seni caraxos
forth,seni meti
four times,seni metiis
forty,seni metios
forty eight times,senimax
forty eight,senimaxis
forty eighth,senimaxos
forty six,senios
forty six times,senis
forty sixth,senix
forty seven,senix abris
forty seven times,senix abro
forty seventh,senix abros
forty one times,senix bei
forty first,senix beiis
forty nine,senix beios
forty nine times,senix cod
forty ninth,senix codis
forty three times,senix codos
forty three,senix iratis
forty third,senix iratos
forty one,senix iura
forty five,senix iuris
forty five times,senix iuros
forty fifth,senix mis
forty two,senix mo
forty two times,senix mos
forty second,senix no
forty four,senix poma
forty fourth,senix pomis
forty four times,senix pomos
forty times,senix rax
fortieth,senix raxis
to start / begin,senix raxos
New Tower,senix seni
new,senix senios
up,senix senis
not,senixis
about,senixos
to monitor,seor
monitor,Seranios
over,seros
love,si
boyfriend / girlfrield,siaci
inhuman,sianor
absorption,sianos
to absorb,siat
friend,siax
to make love,sica
to love,sicara
lover,sicelioros
to believe,sicilirus
believer,sicilor
belief,sicivi
unlimited,sicnor
unbearably,sicor
unbearable,sicos
unsure,sicthor
disobedient,sicthos
imbalance,sicthus
to teach,sidathrascos
teacher,sidostis
teaching,sidostos
nothing,siemios
you're welcome,siencathon
unsafe,siencitia
insane,siendor
unnatural,siendos
unable,siendrus
incorrect,sies
uncommon,siesa
abnormal,siharithos
hopeless,siharnos
impatient,siinnuos
illegally,sijostos
illegal,sijulllicos
whore,sijuson
unusual,silacthios
no one / nobody,silecnios
zero,siminor
unclear,sinacnullis
nowhere,sinacnuos
pointless,sinca
inactive,sinellios
unreal,sinios
powerless,sio
unaware,siornos
impossible,sios
unknown,siosus
cynical,siprumon
cynic,sirancion
indirect,sistaunios
inventive,sistauron
to invent,sistaustos
invention,sistavos
inventor,sisthallos
transformation,sisthos
to transform,sithlacos
never / nowhen,sithon
micro,sithor
microchip,sithorus
nano,sithos
injust / unfair,siunirus
no,siunor
infant,siusia
no way,siutos
to convince,siutovestrus
to record,sivamos
independent,siveos
indefinitely,sivi
indefinite,sivion
indifferent,sivios
rich,siviunor
to own,sivixor
own,sixeciton
owner,sixedascis
power,sixedascos
powerful,sixedon
to be able / can,stascon
aware,stascor
to be aware,stascos
wise,stascos
possible,staunia
idea,staunios
knowledge,staunor
science,stauron
philosophy,stauror
conscious,stauros
to know,staustos
known,stava
mechanism,stavi
mechanical,stavia
machine,stavisica
awakening,stavon
to wake up / awaken,stavor
awake,stavos
intelligent,stonaja
to discern,stonallos
small,stonos
minute,stornirus
among,stornor
colorful,stornos
color,suffraton
to color,suffrator
number,suivi
algorithm,suivira / su.
to count,sum
computer,suximbus
to tell,suxion
weapon,suxiscor
aggressive,tanithes
to attack,tanithion
addition,tanithor
to add,tanithos
to belong,tanor
approval,themnues
to approve,themnuon
to happen an accident,themnuor
accidental,thenathnirus
accident,thenathnor
adoption,thencador
adoptive,thenerni
to adopt,thenernor
to direct,theperor
direct,theperuos
direction,theperus
to find,thevixirus
acclamation,thevixon
to acclaim,thevixor
access,thlacor
to access,thlacos
to admit,thlacrus
admission,thor
accusation,thornirus
to accuse,thornor
category,thosoi
to / towards,thosor
upward,thothor
by,thothrus
behind,thrinirus
along,thrinor
stone,thrinus
while / during,tra
to last,trasi
nut / nucleus,tri
nuclear,trios
northern,trobos
north,tua
to harden,tuithon
to be hard,tuithor
hard,tuivi
form,tuivios
caliber,tunillos
formation,tunios
to modify,tunor
modification,tuor
to form,turos
plasmid,uni
plasma,union
time,unirus
hole,uniscor
asshole,uniscrus
to dig,unor
grave,unura
to pull,unus
heart,usia
battery,vada
to fight,vadaca
war,vador
to beat,vadus
credit,vambror
to credit,vames
to get,vamirus
again,vamithor
repressive,vamo
to repress,vamor
repressed,vasci
repression,vascor
research,vascor
to research,ve
researcher,vehebon
better,vehebor
to fit,vehebos
best,vehebrus
to rebuild / reconstruct,veini
reconstruvtion,veinor
to replicate,veinos
replicate,veithnos
to reserve,veithor
to remove,veittos
to join,vejullidor
arm,vejullidrus
to fasten,vemprithor
complaint,vemprithus
to complain,vencior
just / fair,venicror
to reduplicate,venor
reduplication,venus
to refuse,veor
refusal,veornirus
to replace,veornor
replacement,veos
firm,veraxprithor
cloning machine,veraxprithrus
to clone,verinor
clone,verinus
to firm,veror
limb,verorus
section,veros
wound,verumes
trauma,verumor
to wound,verumus
wounded,veruor
to cut,vesi
short,vesirus
mark / brand,vesni
to mark,vesnia
to chop,vesnor
chip,vesnos
briefly,vesor
microscope,vesos
to shorten,vesti
brief,vestor
shape,vestror
to shape,vestrus
automatic,vesuis
to make something by oneself,vesuivicies
suicide,vesuor
to commit suicide,vesuos
reform,vesus
to reform,vesuscor
solution,vetramon
to solve,vetramor
answer,vetroluni
reproductive,vetrolunor
to reproduce,veunirus
reproduction,veunor
to answer,vevelirus
responsible,vevelor
us,vevi
we,vevidon
truth,viaex
truthful,viai
trust,viaix
trustworthy,vias
to trust,viax
to be true,viax
truly,vica
TRUE,vicabos
daughter,vicni
art,vicnibos
sister,vicnor
miniature,vicor
technology,vicris
artificial,vicros
artificial intelligence,vida
technological,vidi
to create / produce,vidiros
creation,vidivi
creature,vidivonia
reduction,vidivonion
matter,vidivonion asuffraton
son,vidivonios
gene,vidor
genome,vidrus
DNA,vinirus
genetic / genetical,vinneon
genetical manipulation,vinni
generation,vinnia
to generate,vinnialis
mother,vinniodavos / V.
reductive,vinnios
to reduce,vinnios arveburus
our,vinnirus
ours,vinniruscor
talk,vinnor
to talk,vinnos
command,vinnus
to command,vinon
commander,vinor
voice,vio
vote,viox
to vote,viuni
language,viunor
speaker,viuthi
to speak,viuthor
very,vives
to take,vivesci
to steal,vivescor
thief,vivia
theft,vivon
to loose,vivor
loose,vix
to free,vix
free,vixor
to loosen,vixtor
study,vixtos
to study,vixtus
cloning,volithor
vase / glass,vollos
bar,volnor
to drink,volnos
crater,volor
after,vonia
to mock,vonor
off / away,vrumes
to decline,vrumirus
dependent,vrumor
to depend,vrumus
definitely,vuces
to define,vucios
definite,vucor
different / odd,vuxamo
to differ,xat
oddspring,xatrumor
to wear off,xe
to destroy,xecador
destruction,xeciton
defeat,xecitor
to defeat,xedascis
development,xedascor
to develop,xedascos
fun,xedon
to have fun,xedor
discovery,xedothus
to discover,xefoscor
absent,xelidor
to be absent,xelidrus
above,xelinithi
absolutely,xelinithor
to dissolve,xelumirus
absolute,xelumor
decision,xemici
to cut off / decide,xemicor
to take off,xeniti
to pull off,xenitor
depressive,xenon
to depress,xenor
depressed,xest
depression,xevelis
fire,xevelor
coal / carbon,xevelos
eco system,xevesirus
bread,xevesor
bubble,xevixor
alcohol,xevumbror
alcoholic,xhebon
to boil,xhebor
warm,xhebos
house,xhebrus
to warm,xia
to owe / should,xies
to burn,xijulluni
brown,ximbos
fireplace,xini
southern,xinion
south,xinionos
to glow,xinor
hot,xion
sun,xion
focus,xionuor
constellation,xior
debt,xior
to focus,xios
star,xios
declaration,xirillos
to declare,xirios
omissive,xiror
to omit,xiros
omission,xiros
deformation,xiu
to deform,xiulis
durasteel,xius
serotonin,xiuscor
adrenaline,xivi
dopamine,xornirus
ammonia,xornor
sour,xothon
acetylcholine,xothor
yellow / bile,xothrus
amic,xunirus
glutamate,xunor
allergy,tuithon
histamine,nerruon
kidney,avon
norepinephrine,iravon
amine,cohon
butter,nucon
butyric,nucomblona
gamma aminobutyric acid,blona
to take out,cohonos
to balance,nathoncohonos
panel,prumnos
expression,prumnon
nut,scivi
to edit,laxiscivion
edition,cohion
comic book,illa
fridge,illion
alarming,ce cohionillion nuxta / CCIN
to alarm,fivixor
almighty,encitiascor
to grasp,fomion
rage,cuini
fewer / less,emminor
to lock,fihubrus
goodbye,inor
see you later / see you,jalithos
mist,minor
so / such / like that,mnicor
few / little,navios
key,tuivi
confines,vinniodavos
to end / finish,irendor
limitation,irendrus
to check,fixion
playground,y
maybe,annon
to make sure,annor
come on!,arostaunios
to update,avror
to explore,ceamo
savage,cianos
forest,cidascor
problem / trouble,ciom
to promise / swear,ciom xat
to follow,ciomor
consequence,connira
parent,cui
yeah,cuios
to set up,dana
around,danithos
madam,dascor
jester,dathrascrus
last,emplicthor
to inch / move slowly,emplivi
late,empriai
cat,emuor
metropolis,enet ais!
paradise,eronuor
carnage,fianor
thank you,hilira
hey,hilis
to transfer,inus
transaction,irendor
to travel,irendrus
travel / trip,irothor
door,jadror
hell,jadrus
to cry,josa
thought provoking,ju
downfall,lacror
to worry,lambris
window,linna
bloodlust,lios
sign / password,maratos
beginning,marithor
enough,maros
isn't it / eh,meca
dear,menithamo
potential,muthios
story,nathaca
impetus,nernos
to rush upon / attack,nom
to listen,odor
to advance,odrus
advancement,oioscor
boy,oioscus
to reflect,oivo
reflection,olca
to remember,orithor
treasure,oson
rescue,peramo
to rescue,ramnuor
remote,scinivo
to regret,scithuladri
true ,sei
to trap,selos
dystopy,sen
dystopian,sicos
Ugly,stauniara
few,tani
Odd crypto,theini
Internet money,theinor
Internet token,themnithor
Internet coin,thenuor
Internet currency,thenurus
Internet Credit,tiama
Odd bit,vecior
Bit,vecirus
Coin,vei
Token,vendi
Currency,vendor
Crypto,venocror
Crypto money,venocros
Crypto coin,vepor
Crypto token,vetra
Crypto currency,vicros
Crypto credit,vixnor
Magic crypto,xerithion
Magic money,xerithionos
Magic coin,Ceallos
Magic token,cuios
Magic currency,Nixdon
Magic credit,Xetia
Odd money,Fores
Odd coin,Fosion
Odd token,Fobus / Foba / Fobi
Odd currency,Foron
Odd credit,Fosci
It's Coming,Vixdon
